from_id,from_label,to_id,to_label,type,source
Q1987980,breakstep,Q1165777,UK garage,parent,wikidata
Q835131,Goa trance,Q622871,psychedelic trance,parent,wikidata
Q750811,minimal house,Q598593,tech house,parent,wikidata
Q21000514,rawstyle,Q223840,hardstyle,parent,wikidata
Q2497323,suomisaundi,Q622871,psychedelic trance,parent,wikidata
Q31836693,jungle terror,Q114880130,bass music (EDM),parent,wikidata
Q28721502,Finnish grime,Q1166726,grime,parent,wikidata
Q96376113,deconstructed club,Q110527222,experimental club music,parent,wikidata
Q113510667,artcore,Q388906,hardcore,parent,wikidata
Q6907397,moombahcore,Q114880130,bass music (EDM),parent,wikidata
Q22908553,future bass,Q114880130,bass music (EDM),parent,wikidata
Q10286190,full-on,Q622871,psychedelic trance,parent,wikidata
Q2611143,early hardstyle,Q223840,hardstyle,parent,wikidata
Q106653596,ambient breakbeat,Q663519,breakbeat,parent,wikidata
Q733804,hands up,Q1033912,hard dance,parent,wikidata
Q2385862,progressive psytrance,Q12200830,progressive electronic dance music,parent,wikidata
Q25389262,progressive breaks,Q663519,breakbeat,parent,wikidata
Q2608506,space disco,Q98528149,electro-disco,parent,wikidata
Q106654239,weightless,Q1166726,grime,parent,wikidata
Q223840,hardstyle,Q1033912,hard dance,parent,wikidata
Q106591506,bubblegum bass,Q114880130,bass music (EDM),parent,wikidata
Q2634010,acid breaks,Q106528337,acid,parent,wikidata
Q108297232,doskpop,Q106423092,tracker music,parent,wikidata
Q18432631,neurohop,Q106514601,glitch hop (EDM),parent,wikidata
Q25389262,progressive breaks,Q12200830,progressive electronic dance music,parent,wikidata
Q2374619,UK hardcore,Q1033912,hard dance,parent,wikidata
Q112829330,deep tech,Q598593,tech house,parent,wikidata
Q109335331,dungeon sound,Q20474,dubstep,parent,wikidata
Q3048168,mákina,Q1033912,hard dance,parent,wikidata
Q2385862,progressive psytrance,Q622871,psychedelic trance,parent,wikidata
Q114238485,meme techno,Q3084222,hard techno,parent,wikidata
Q123413364,Afro tech,Q388100,Afro house,parent,wikidata
Q116952929,hyper techno,Q898709,rave music,parent,wikidata
Q124333204,sinogrime,Q1166726,grime,parent,wikidata
Q122474257,rominimal,Q598593,tech house,parent,wikidata
Q112663444,Belgian hardcore techno,Q388906,hardcore,parent,wikidata
Q112663444,Belgian hardcore techno,Q170611,techno,parent,wikidata
Q122839839,deathchant hardcore,Q388906,hardcore,parent,wikidata
Q114878571,speed house,Q27345019,bass house,parent,wikidata
Q110127020,tranceira,Q170435,trance,parent,wikidata
Q127471087,hard IDM,Q660984,intelligent dance music,parent,wikidata
Q136206123,nustyle,Q223840,hardstyle,parent,wikidata
Q127606394,3-step,Q388100,Afro house,parent,wikidata
Q136696186,frapcore,Q388906,hardcore,parent,wikidata
Q114238485,meme techno,Q25554481,punk music,parent,wikidata
Q135493744,melodic bass,Q114880130,bass music (EDM),parent,wikidata
Q110584468,experimental electro,Q217597,electro,parent,wikidata
Q110584608,neo-electro,Q217597,electro,parent,wikidata
Q113600471,hardtek,Q898709,rave music,parent,wikidata
Q111804002,deep drum and bass,Q188994,drum and bass,parent,wikidata
Q124791567,Drum and bass electronic rock,Q188994,drum and bass,parent,wikidata
Q107697221,hardgroove techno,Q170611,techno,parent,wikidata
Q123543092,darkcore,Q388906,hardcore,parent,wikidata
Q108831582,big room trance,Q170435,trance,parent,wikidata
Q139567714,neo rave,Q1033912,hard dance,parent,wikidata
Q110127020,tranceira,Q97278139,brega funk,parent,wikidata
Q124791567,Drum and bass electronic rock,Q325504,electronic rock,parent,wikidata
Q133520038,J-euro,Q131578,J-pop,parent,wikidata
Q110584483,industrial drum and bass,Q188994,drum and bass,parent,wikidata
Q120715859,ghetto funk,Q106514601,glitch hop (EDM),parent,wikidata
Q139488139,dark garage,Q1165777,UK garage,parent,wikidata
Q139807789,trance 2.0,Q170435,trance,parent,wikidata
Q130474688,hypnotic trance,Q170435,trance,parent,wikidata
Q130474689,raw trance,Q170435,trance,parent,wikidata
Q123009321,neo-grime,Q106369996,wave,parent,wikidata
Q110967939,footwork jungle,Q5466607,footwork,parent,wikidata
Q114743580,psystyle,Q223840,hardstyle,parent,wikidata
Q112663444,Belgian hardcore techno,Q898709,rave music,parent,wikidata
Q130474681,Latin tech,Q98528166,Latin electronic music,parent,wikidata
Q110584483,industrial drum and bass,Q936942,post-industrial music,parent,wikidata
Q127470401,techno-tribal,Q106576170,tribal music,parent,wikidata
Q110967939,footwork jungle,Q188994,drum and bass,parent,wikidata
Q118798959,tearout dubstep,Q20474,dubstep,parent,wikidata
Q133520038,J-euro,Q848852,Eurobeat,parent,wikidata
Q123009321,neo-grime,Q1166726,grime,parent,wikidata
Q139907460,raw techno,Q170611,techno,parent,wikidata
Q107332291,dancefloor drum and bass,Q188994,drum and bass,parent,wikidata
Q114878405,electro-techno,Q170611,techno,parent,wikidata
Q114878405,electro-techno,Q217597,electro,parent,wikidata
Q110185782,melodic techno,Q170611,techno,parent,wikidata
Q114878571,speed house,Q1033912,hard dance,parent,wikidata
Q130474681,Latin tech,Q598593,tech house,parent,wikidata
Q125854043,amigacore,Q106423092,tracker music,parent,wikidata
Q113600471,hardtek,Q1033912,hard dance,parent,wikidata
Q111182811,peak time techno,Q170611,techno,parent,wikidata
Q127470401,techno-tribal,Q170611,techno,parent,wikidata
Q127471087,hard IDM,Q388906,hardcore,parent,wikidata
Q134997891,hi-tech full-on,Q170435,trance,parent,wikidata
Q106922571,cybergoth music,Q487965,industrial music,parent,wikidata
Q114238485,meme techno,Q188994,drum and bass,parent,wikidata
Q123922710,aquacrunk,Q1136045,wonky,parent,wikidata
Q110584468,experimental electro,Q105763581,experimental electronic music,parent,wikidata
Q125854043,amigacore,Q388906,hardcore,parent,wikidata
Q16951912,Birmingham sound,Q29480448,industrial techno,parent,wikidata
Q307054,schranz,Q3084222,hard techno,parent,wikidata
Q3062629,extratone,Q848457,speedcore,parent,wikidata
Q98076452,Sabadell Sound,Q744417,Italo disco,parent,wikidata
Q113493820,French electro,Q627906,electro house,parent,wikidata
Q105404852,hi-tech psytrance,Q2452152,dark psytrance,parent,wikidata
Q1091450,aggrotech,Q4155078,dark electro,parent,wikidata
Q106577108,hard beat,Q1890098,new beat,parent,wikidata
Q1275972,raggacore,Q903735,breakcore,parent,wikidata
Q2710523,ragga jungle,Q1102161,jungle,parent,wikidata
Q11831728,pumping house,Q1585015,hard house,parent,wikidata
Q108716407,skullstep,Q1166321,darkstep,parent,wikidata
Q25389065,minimal psytrance,Q622871,psychedelic trance,parent,wikidata
Q28458027,hardbass,Q11831728,pumping house,parent,wikidata
Q117405746,raggatek,Q113600471,hardtek,parent,wikidata
Q124846645,gabber punk,Q3071,punk rock,parent,wikidata
Q107407607,hard trap,Q47781397,EDM trap music,parent,wikidata
Q9149801,ambient techno,Q106521662,deep techno,parent,wikidata
Q113621229,future core,Q2374619,UK hardcore,parent,wikidata
Q106493832,slap house,Q20021059,future house,parent,wikidata
Q6081528,poky,Q1585015,hard house,parent,wikidata
Q111540473,experimental jungle,Q105763581,experimental electronic music,parent,wikidata
Q106577542,kawaii future bass,Q22908553,future bass,parent,wikidata
Q111653578,hybrid trap,Q47781397,EDM trap music,parent,wikidata
Q109714084,twilight psytrance,Q10286190,full-on,parent,wikidata
Q109715091,morning psytrance,Q10286190,full-on,parent,wikidata
Q113621229,future core,Q3098078,J-core,parent,wikidata
Q111971785,heaven trap,Q47781397,EDM trap music,parent,wikidata
Q20047305,Melbourne bounce,Q627906,electro house,parent,wikidata
Q106636283,jungle dutch,Q106636289,breakbeat kota,parent,wikidata
Q116745991,Afropiano,Q85741139,Amapiano,parent,wikidata
Q127606323,Afrikaans gqom,Q29973057,gqom,parent,wikidata
Q127606347,core tribe,Q29973057,gqom,parent,wikidata
Q127606355,electro gqom,Q29973057,gqom,parent,wikidata
Q127606361,gospel gqom,Q29973057,gqom,parent,wikidata
Q127606370,gqom tech,Q29973057,gqom,parent,wikidata
Q2842043,atmospheric drum and bass,Q2615500,intelligent drum and bass,parent,wikidata
Q109715837,zenonesque,Q2385862,progressive psytrance,parent,wikidata
Q122910849,future trap,Q47781397,EDM trap music,parent,wikidata
Q109753757,twerk,Q47781397,EDM trap music,parent,wikidata
Q124151378,dream folk,Q1339027,dream trance,parent,wikidata
Q106522190,scouse house,Q1585015,hard house,parent,wikidata
Q4177625,hardcore breaks,Q1585075,breakbeat hardcore,parent,wikidata
Q1262781,dub techno,Q106521662,deep techno,parent,wikidata
Q2710523,ragga jungle,Q740911,ragga,parent,wikidata
Q108555812,lo-fi house,Q18358879,outsider house,parent,wikidata
Q111971801,LA hard house,Q107090501,Chicago hard house,parent,wikidata
Q111540473,experimental jungle,Q1102161,jungle,parent,wikidata
Q109713845,classic psytrance,Q622871,psychedelic trance,parent,wikidata
Q109713947,offbeat psytrance,Q622871,psychedelic trance,parent,wikidata
Q109713928,tribal psytrance,Q622871,psychedelic trance,parent,wikidata
Q109714096,forest psytrance,Q622871,psychedelic trance,parent,wikidata
Q109714050,uplifting psy,Q622871,psychedelic trance,parent,wikidata
Q24885387,juke,Q2748817,ghetto house,parent,wikidata
Q5655695,hardbag,Q3032212,diva house,parent,wikidata
Q9348934,symphonic trance,Q890887,Eurotrance,parent,wikidata
Q123421084,briddim,Q20903,brostep,parent,wikidata
Q114594005,rawphoric,Q21000514,rawstyle,parent,wikidata
Q115690999,future riddim,Q65065491,riddim,parent,wikidata
Q97277483,New Jersey sound,Q928825,garage house,parent,wikidata
Q4965901,Jersey club,Q107091813,East Coast club,parent,wikidata
Q109322851,mashcore,Q903735,breakcore,parent,wikidata
Q108555812,lo-fi house,Q874038,deep house,parent,wikidata
Q5978495,lolicore,Q903735,breakcore,parent,wikidata
Q11312853,splittercore,Q848457,speedcore,parent,wikidata
Q1521688,ghettotech,Q114880124,US bass music,parent,wikidata
Q11693017,darkcore,Q1585075,breakbeat hardcore,parent,wikidata
Q124357128,gabberpop,Q820049,gabber,parent,wikidata
Q11691380,complextro,Q627906,electro house,parent,wikidata
Q109713720,minatory,Q106528420,deathstep,parent,wikidata
Q5655695,hardbag,Q30917612,Eurohouse,parent,wikidata
Q11882045,melodic trance,Q2260696,progressive trance,parent,wikidata
Q122474184,mega funk,Q117745223,Brazilian funk,parent,wikidata
Q124151378,dream folk,Q43343,folk music,parent,wikidata
Q117750973,powerstomp,Q2374619,UK hardcore,parent,wikidata
Q119259589,tearout brostep,Q20903,brostep,parent,wikidata
Q108197774,colour bass,Q20903,brostep,parent,wikidata
Q113621229,future core,Q106577542,kawaii future bass,parent,wikidata
Q9011351,jazzstep,Q2615500,intelligent drum and bass,parent,wikidata
Q122474184,mega funk,Q85748774,Brazilian bass,parent,wikidata
Q1521688,ghettotech,Q2748817,ghetto house,parent,wikidata
Q2365784,fidget house,Q627906,electro house,parent,wikidata
Q106634926,future bounce,Q20021059,future house,parent,wikidata
Q106594102,Philly club,Q107091813,East Coast club,parent,wikidata
Q114809047,anthem trance,Q890887,Eurotrance,parent,wikidata
Q110526823,progressive electro house,Q627906,electro house,parent,wikidata
Q124357128,gabberpop,Q37073,pop music,parent,wikidata
Q1262781,dub techno,Q2478478,dubtronica,parent,wikidata
Q30919272,artcore drum and bass,Q2615500,intelligent drum and bass,parent,wikidata
Q116745991,Afropiano,Q25099840,Afrobeats,parent,wikidata
Q1228230,Dutch house,Q627906,electro house,parent,wikidata
Q724755,early hardcore,Q820049,gabber,parent,wikidata
Q111628716,festival trap,Q47781397,EDM trap music,parent,wikidata
Q4706203,nitzhonot,Q835131,Goa trance,parent,wikidata
Q106493832,slap house,Q85748774,Brazilian bass,parent,wikidata
Q124846645,gabber punk,Q820049,gabber,parent,wikidata
Q114107195,psycore,Q2452152,dark psytrance,parent,wikidata
Q110526770,dark progressive house,Q915152,progressive house,parent,wikidata
Q110526823,progressive electro house,Q915152,progressive house,parent,wikidata
Q106528420,deathstep,Q20903,brostep,parent,wikidata
Q137442001,pumpcore,Q113600471,hardtek,parent,wikidata
Q110391587,Vocaloid music,Q257533,music of Japan,parent,wikidata
Q109873537,dark disco,Q851213,electronic dance music,parent,wikidata
Q114443489,partyschlager,Q851213,electronic dance music,parent,wikidata
Q132324210,bloghouse,Q851213,electronic dance music,parent,wikidata
Q109469638,indie dance,Q851213,electronic dance music,parent,wikidata
Q114443489,partyschlager,Q959583,schlager music,parent,wikidata
Q114880130,bass music (EDM),Q851213,electronic dance music,parent,wikidata
Q135369460,bacardi,Q956717,kwaito,parent,wikidata
Q132165415,buchiage trance,Q257533,music of Japan,parent,wikidata
Q123753500,phonk house,Q112997482,drift phonk,parent,wikidata
Q115890848,epadunk,Q846784,music of Sweden,parent,wikidata
Q115890848,epadunk,Q851213,electronic dance music,parent,wikidata
Q110527222,experimental club music,Q105763581,experimental electronic music,parent,wikidata
Q110391587,Vocaloid music,Q851213,electronic dance music,parent,wikidata
Q135396723,hypertone,Q848457,speedcore,parent,wikidata
Q135396809,supertone,Q848457,speedcore,parent,wikidata
Q127606375,gqom trap,Q29973057,gqom,parent,wikidata
Q127606386,sgubhu,Q29973057,gqom,parent,wikidata
Q127606390,taxi kick,Q29973057,gqom,parent,wikidata
Q127606411,uThayela,Q29973057,gqom,parent,wikidata
Q122932896,ori deck,Q6942287,music of Tahiti,parent,wikidata
Q122932896,ori deck,Q851213,electronic dance music,parent,wikidata
Q132165415,buchiage trance,Q733804,hands up,parent,wikidata
Q119438497,UK jackin',Q20502,house music,parent,wikidata
Q109378734,popcorn music,Q20502,house music,parent,wikidata
Q131529620,krushclub,Q851213,electronic dance music,parent,wikidata
Q109538574,vinahouse,Q20502,house music,parent,wikidata
Q117198196,cruise,Q2738838,music of Nigeria,parent,wikidata
Q108610706,Detroit house,Q20502,house music,parent,wikidata
Q116875230,gospel house,Q20502,house music,parent,wikidata
Q114880130,bass music (EDM),Q96740854,bass music,parent,wikidata
Q110101956,eletrofunk,Q20502,house music,parent,wikidata
Q135437136,dek bass,Q98528267,music of South Asia,parent,wikidata
Q139567721,xtra raw,Q21000514,rawstyle,parent,wikidata
Q126335126,hypertechno,Q851213,electronic dance music,parent,wikidata
Q117198196,cruise,Q851213,electronic dance music,parent,wikidata
Q139566596,indie sleaze revival,Q851213,electronic dance music,parent,wikidata
Q140369806,outrun,Q19938910,synthwave,parent,wikidata
Q126175574,stutter house,Q20502,house music,parent,wikidata
Q136539124,liquid riddim,Q65065491,riddim,parent,wikidata
Q140369806,outrun,Q851213,electronic dance music,parent,wikidata
Q116296482,melodic house,Q20502,house music,parent,wikidata
Q109378734,popcorn music,Q116985035,electronic pop,parent,wikidata
Q109378734,popcorn music,Q117000933,Eastern European pop,parent,wikidata
Q109589387,manyao,Q851213,electronic dance music,parent,wikidata
Q140221083,hardtekk,Q851213,electronic dance music,parent,wikidata
Q109589387,manyao,Q930592,Italo dance,parent,wikidata
Q135553474,autonomic,Q106404300,minimal drum and bass,parent,wikidata
Q110101956,eletrofunk,Q117745223,Brazilian funk,parent,wikidata
Q130301602,noiadance,Q117745223,Brazilian funk,parent,wikidata
Q135437136,dek bass,Q851213,electronic dance music,parent,wikidata
Q111442385,Japanese artcore,Q851213,electronic dance music,parent,wikidata
Q120484427,dariacore,Q851213,electronic dance music,parent,wikidata
Q131529620,krushclub,Q107697234,HexD,parent,wikidata
Q110527222,experimental club music,Q851213,electronic dance music,parent,wikidata
Q134380635,slimepunk,Q851213,electronic dance music,parent,wikidata
Q130325403,car audio bass,Q106522238,techno bass,parent,wikidata
Q109146989,piano house,Q20502,house music,parent,wikidata
Q135437342,microfunk,Q106404300,minimal drum and bass,parent,wikidata
Q109148913,organic house,Q20502,house music,parent,wikidata
Q109378734,popcorn music,Q211756,dance-pop,parent,wikidata
Q123753500,phonk house,Q20502,house music,parent,wikidata
Q130301602,noiadance,Q1228230,Dutch house,parent,wikidata
